neighbourhood_group,room_type,price
Brooklyn,Private room,149
Manhattan,Entire home/apt,225
Manhattan,Private room,150
Brooklyn,Entire home/apt,89
Manhattan,Entire home/apt,80
Manhattan,Entire home/apt,200
Brooklyn,Private room,60
Manhattan,Private room,79
Manhattan,Private room,79
Manhattan,Entire home/apt,150
Manhattan,Entire home/apt,135
Manhattan,Private room,85
Brooklyn,Private room,89
Manhattan,Private room,85
Manhattan,Entire home/apt,120
Brooklyn,Entire home/apt,140
Brooklyn,Entire home/apt,215
Manhattan,Private room,140
Brooklyn,Entire home/apt,99
Manhattan,Entire home/apt,190
Brooklyn,Entire home/apt,299
Brooklyn,Private room,130
Brooklyn,Private room,80
Brooklyn,Private room,110
Brooklyn,Entire home/apt,120
Brooklyn,Private room,60
Manhattan,Private room,80
Manhattan,Entire home/apt,150
Manhattan,Private room,44
Manhattan,Entire home/apt,180
Manhattan,Private room,50
Manhattan,Private room,52
Brooklyn,Private room,55
Manhattan,Private room,50
Brooklyn,Private room,70
Brooklyn,Private room,89
Brooklyn,Private room,35
Brooklyn,Entire home/apt,85
Brooklyn,Private room,150
Manhattan,Shared room,40
Manhattan,Private room,68
Brooklyn,Entire home/apt,120
Brooklyn,Private room,120
Manhattan,Private room,135
Manhattan,Entire home/apt,150
Brooklyn,Entire home/apt,150
Queens,Private room,130
Brooklyn,Entire home/apt,110
Brooklyn,Entire home/apt,115
Brooklyn,Private room,80
Brooklyn,Private room,80
Manhattan,Entire home/apt,151
Brooklyn,Entire home/apt,228
Brooklyn,Entire home/apt,144
Manhattan,Entire home/apt,200
Brooklyn,Entire home/apt,150
Manhattan,Private room,110
Manhattan,Private room,69
Brooklyn,Private room,49
Manhattan,Entire home/apt,180
Brooklyn,Private room,80
Manhattan,Entire home/apt,375
Manhattan,Entire home/apt,250
Brooklyn,Entire home/apt,200
Brooklyn,Private room,55
Manhattan,Private room,52
Brooklyn,Entire home/apt,225
Manhattan,Private room,80
Brooklyn,Entire home/apt,275
Manhattan,Private room,99
Manhattan,Entire home/apt,225
Manhattan,Entire home/apt,230
Manhattan,Private room,51
Manhattan,Private room,65
Brooklyn,Private room,105
Manhattan,Entire home/apt,190
Manhattan,Private room,200
Queens,Private room,70
Brooklyn,Private room,95
Manhattan,Private room,150
Brooklyn,Private room,145
Manhattan,Entire home/apt,110
Manhattan,Entire home/apt,285
Brooklyn,Entire home/apt,130
Manhattan,Private room,94
Brooklyn,Entire home/apt,800
Brooklyn,Entire home/apt,105
Manhattan,Private room,60
Manhattan,Private room,50
Brooklyn,Private room,85
Brooklyn,Private room,65
Brooklyn,Entire home/apt,131
Brooklyn,Private room,98
Brooklyn,Entire home/apt,250
Brooklyn,Entire home/apt,100
Brooklyn,Entire home/apt,105
Manhattan,Entire home/apt,140
Manhattan,Private room,89
Manhattan,Private room,98
Brooklyn,Entire home/apt,125
Manhattan,Private room,60
Brooklyn,Entire home/apt,175
Manhattan,Private room,65
Manhattan,Entire home/apt,500
Brooklyn,Private room,101
Brooklyn,Entire home/apt,220
Brooklyn,Entire home/apt,125
Brooklyn,Entire home/apt,80
Manhattan,Private room,100
Brooklyn,Entire home/apt,200
Manhattan,Private room,59
Brooklyn,Private room,125
Manhattan,Entire home/apt,140
Brooklyn,Entire home/apt,120
Manhattan,Entire home/apt,350
Manhattan,Entire home/apt,199
Brooklyn,Entire home/apt,325
Manhattan,Entire home/apt,235
Manhattan,Entire home/apt,225
Brooklyn,Private room,99
Manhattan,Entire home/apt,170
Brooklyn,Entire home/apt,400
Manhattan,Entire home/apt,170
Manhattan,Entire home/apt,100
Brooklyn,Private room,75
Brooklyn,Private room,90
Manhattan,Entire home/apt,150
Manhattan,Private room,85
Brooklyn,Private room,70
Manhattan,Entire home/apt,120
Brooklyn,Private room,89
Manhattan,Entire home/apt,185
Brooklyn,Private room,50
Manhattan,Entire home/apt,105
Manhattan,Private room,130
Manhattan,Entire home/apt,115
Brooklyn,Private room,77
Brooklyn,Private room,76
Brooklyn,Entire home/apt,125
Brooklyn,Private room,135
Brooklyn,Entire home/apt,250
Brooklyn,Entire home/apt,199
Brooklyn,Entire home/apt,140
Queens,Private room,140
Brooklyn,Entire home/apt,115
Brooklyn,Entire home/apt,160
Brooklyn,Entire home/apt,195
Manhattan,Entire home/apt,195
Brooklyn,Private room,80
Brooklyn,Private room,44
Manhattan,Private room,156
Brooklyn,Private room,85
Brooklyn,Private room,125
Brooklyn,Entire home/apt,115
Manhattan,Private room,69
Manhattan,Entire home/apt,225
Brooklyn,Entire home/apt,125
Manhattan,Entire home/apt,219
Brooklyn,Entire home/apt,475
Manhattan,Entire home/apt,99
Brooklyn,Private room,69
Queens,Private room,79
Brooklyn,Entire home/apt,135
Brooklyn,Private room,250
Manhattan,Entire home/apt,250
Brooklyn,Entire home/apt,250
Manhattan,Entire home/apt,80
Brooklyn,Private room,70
Brooklyn,Entire home/apt,165
Staten Island,Private room,70
Brooklyn,Private room,50
Bronx,Private room,40
Brooklyn,Entire home/apt,150
Manhattan,Private room,125
Manhattan,Entire home/apt,196
Brooklyn,Private room,110
Manhattan,Entire home/apt,170
Manhattan,Entire home/apt,165
Manhattan,Entire home/apt,150
Manhattan,Entire home/apt,100
Brooklyn,Private room,65
Queens,Entire home/apt,350
Manhattan,Private room,99
Brooklyn,Entire home/apt,200
Brooklyn,Entire home/apt,150
Brooklyn,Private room,90
Brooklyn,Private room,120
Manhattan,Private room,75
Brooklyn,Entire home/apt,175
Manhattan,Entire home/apt,125
Manhattan,Entire home/apt,275
Manhattan,Entire home/apt,299
Brooklyn,Entire home/apt,135
Manhattan,Private room,130
Manhattan,Private room,83
Manhattan,Private room,123
Queens,Private room,55
Manhattan,Entire home/apt,195
Brooklyn,Private room,80
Queens,Entire home/apt,98
Queens,Private room,140
Queens,Entire home/apt,265
Brooklyn,Entire home/apt,249
Manhattan,Shared room,105
Manhattan,Private room,200
Brooklyn,Private room,100
Manhattan,Entire home/apt,121
Bronx,Private room,45
Manhattan,Private room,100
Brooklyn,Entire home/apt,140
Brooklyn,Private room,71
Manhattan,Private room,130
Manhattan,Entire home/apt,199
Brooklyn,Private room,69
Brooklyn,Private room,68
Manhattan,Entire home/apt,130
Brooklyn,Entire home/apt,195
Manhattan,Private room,64
Queens,Entire home/apt,140
Brooklyn,Entire home/apt,159
Manhattan,Entire home/apt,189
Manhattan,Entire home/apt,250
Manhattan,Entire home/apt,239
Manhattan,Entire home/apt,305
Manhattan,Entire home/apt,155
Manhattan,Private room,60
Brooklyn,Private room,135
Manhattan,Private room,120
Manhattan,Entire home/apt,150
Queens,Entire home/apt,140
Brooklyn,Entire home/apt,135
Manhattan,Entire home/apt,250
Manhattan,Entire home/apt,250
Manhattan,Entire home/apt,500
Manhattan,Entire home/apt,225
Manhattan,Entire home/apt,125
Manhattan,Private room,92
Manhattan,Private room,175
Manhattan,Entire home/apt,99
Manhattan,Entire home/apt,195
Manhattan,Entire home/apt,140
Manhattan,Entire home/apt,135
Manhattan,Entire home/apt,500
Manhattan,Private room,80
Manhattan,Private room,120
Manhattan,Entire home/apt,110
Brooklyn,Entire home/apt,65
Manhattan,Entire home/apt,130
Brooklyn,Entire home/apt,99
Staten Island,Private room,36
Staten Island,Private room,37
Staten Island,Private room,37
Manhattan,Entire home/apt,175
Manhattan,Entire home/apt,205
Brooklyn,Entire home/apt,285
Brooklyn,Private room,59
Staten Island,Private room,36
Queens,Entire home/apt,99
Brooklyn,Private room,39
Brooklyn,Private room,60
Bronx,Private room,90
Bronx,Entire home/apt,105
Brooklyn,Entire home/apt,135
Manhattan,Entire home/apt,390
Brooklyn,Private room,70
Manhattan,Private room,75
Brooklyn,Private room,60
Manhattan,Entire home/apt,200
Brooklyn,Private room,100
Brooklyn,Private room,70
Brooklyn,Private room,110
Brooklyn,Private room,60
Manhattan,Entire home/apt,90
Manhattan,Private room,68
Manhattan,Entire home/apt,115
Brooklyn,Private room,75
Brooklyn,Private room,60
Manhattan,Entire home/apt,129
Brooklyn,Entire home/apt,130
Brooklyn,Entire home/apt,95
Manhattan,Private room,75
Brooklyn,Entire home/apt,175
Brooklyn,Entire home/apt,190
Brooklyn,Private room,49
Manhattan,Entire home/apt,212
Manhattan,Private room,95
Brooklyn,Entire home/apt,140
Manhattan,Entire home/apt,135
Brooklyn,Entire home/apt,150
Brooklyn,Entire home/apt,190
Manhattan,Entire home/apt,124
Brooklyn,Entire home/apt,135
Manhattan,Private room,122
Manhattan,Private room,109
Manhattan,Private room,85
Brooklyn,Entire home/apt,145
Manhattan,Entire home/apt,195
Brooklyn,Entire home/apt,250
Brooklyn,Private room,125
Manhattan,Entire home/apt,575
Manhattan,Entire home/apt,150
Brooklyn,Private room,70
Manhattan,Private room,90
Manhattan,Private room,65
Manhattan,Entire home/apt,500
Manhattan,Entire home/apt,250
Manhattan,Entire home/apt,125
Manhattan,Entire home/apt,200
Brooklyn,Entire home/apt,229
Bronx,Entire home/apt,90
Manhattan,Entire home/apt,110
Brooklyn,Private room,59
Brooklyn,Entire home/apt,195
Brooklyn,Entire home/apt,169
Manhattan,Entire home/apt,113
Manhattan,Entire home/apt,250
Queens,Entire home/apt,115
Brooklyn,Private room,55
Brooklyn,Private room,69
Manhattan,Entire home/apt,150
Brooklyn,Entire home/apt,169
Brooklyn,Private room,179
Manhattan,Private room,150
Brooklyn,Entire home/apt,135
Brooklyn,Entire home/apt,350
Brooklyn,Private room,120
Manhattan,Private room,71
Brooklyn,Private room,349
Brooklyn,Private room,349
Brooklyn,Entire home/apt,165
Brooklyn,Private room,249
Brooklyn,Private room,100
Brooklyn,Entire home/apt,200
Manhattan,Entire home/apt,169
Brooklyn,Entire home/apt,185
Brooklyn,Entire home/apt,65
Brooklyn,Entire home/apt,130
Brooklyn,Entire home/apt,199
Manhattan,Entire home/apt,225
Brooklyn,Private room,179
Brooklyn,Entire home/apt,150
Manhattan,Entire home/apt,139
Manhattan,Private room,95
Brooklyn,Entire home/apt,79
Manhattan,Entire home/apt,150
Brooklyn,Entire home/apt,650
Brooklyn,Entire home/apt,90
Brooklyn,Entire home/apt,120
Queens,Private room,80
Brooklyn,Entire home/apt,100
Brooklyn,Entire home/apt,175
Brooklyn,Entire home/apt,120
Brooklyn,Entire home/apt,140
Brooklyn,Entire home/apt,200
Brooklyn,Private room,165
Manhattan,Entire home/apt,125
Manhattan,Entire home/apt,130
Manhattan,Shared room,65
Brooklyn,Entire home/apt,123
Manhattan,Private room,67
Queens,Private room,50
Brooklyn,Entire home/apt,130
Brooklyn,Private room,100
Manhattan,Entire home/apt,212
Brooklyn,Entire home/apt,190
Brooklyn,Private room,599
Manhattan,Entire home/apt,249
Queens,Private room,70
Brooklyn,Entire home/apt,100
Manhattan,Private room,60
Brooklyn,Entire home/apt,135
Brooklyn,Entire home/apt,175
Manhattan,Entire home/apt,120
Manhattan,Entire home/apt,169
Brooklyn,Entire home/apt,165
Manhattan,Private room,90
Manhattan,Entire home/apt,225
Brooklyn,Private room,95
Brooklyn,Private room,55
Manhattan,Private room,85
Brooklyn,Entire home/apt,199
Manhattan,Entire home/apt,211
Manhattan,Entire home/apt,145
Manhattan,Private room,65
Manhattan,Entire home/apt,99
Queens,Entire home/apt,110
Brooklyn,Entire home/apt,80
Brooklyn,Entire home/apt,150
Brooklyn,Entire home/apt,110
Manhattan,Private room,290
Manhattan,Private room,87
Brooklyn,Entire home/apt,190
Brooklyn,Entire home/apt,200
Brooklyn,Entire home/apt,165
Manhattan,Entire home/apt,110
Manhattan,Entire home/apt,395
Brooklyn,Private room,99
Brooklyn,Private room,39
Manhattan,Entire home/apt,189
Manhattan,Private room,85
Brooklyn,Entire home/apt,260
Manhattan,Entire home/apt,122
Brooklyn,Entire home/apt,165
Queens,Entire home/apt,97
Manhattan,Entire home/apt,170
Brooklyn,Entire home/apt,125
Manhattan,Private room,130
Brooklyn,Entire home/apt,225
Brooklyn,Private room,50
Brooklyn,Entire home/apt,170
Manhattan,Entire home/apt,132
Brooklyn,Entire home/apt,250
Brooklyn,Entire home/apt,141
Brooklyn,Entire home/apt,64
Brooklyn,Entire home/apt,249
Brooklyn,Private room,79
Manhattan,Entire home/apt,185
Brooklyn,Entire home/apt,120
Brooklyn,Entire home/apt,495
Manhattan,Entire home/apt,375
Manhattan,Entire home/apt,175
Manhattan,Entire home/apt,150
Manhattan,Entire home/apt,259
Manhattan,Private room,96
Brooklyn,Entire home/apt,145
Manhattan,Entire home/apt,200
Manhattan,Entire home/apt,95
Brooklyn,Entire home/apt,250
Manhattan,Entire home/apt,295
Manhattan,Entire home/apt,175
Brooklyn,Entire home/apt,451
Manhattan,Entire home/apt,165
Manhattan,Entire home/apt,250
Bronx,Entire home/apt,77
Manhattan,Entire home/apt,250
Queens,Entire home/apt,129
Brooklyn,Private room,98
Brooklyn,Entire home/apt,150
Manhattan,Private room,95
Manhattan,Private room,55
Manhattan,Entire home/apt,300
Queens,Private room,42
Brooklyn,Entire home/apt,125
Manhattan,Private room,175
Manhattan,Private room,75
Brooklyn,Entire home/apt,255
Brooklyn,Entire home/apt,72
Brooklyn,Private room,165
Brooklyn,Entire home/apt,165
Brooklyn,Private room,75
Brooklyn,Entire home/apt,130
Brooklyn,Entire home/apt,139
Brooklyn,Private room,88
Brooklyn,Private room,80
Manhattan,Private room,150
Manhattan,Entire home/apt,200
Manhattan,Entire home/apt,200
Queens,Private room,42
Brooklyn,Private room,90
Manhattan,Entire home/apt,295
Brooklyn,Entire home/apt,450
Brooklyn,Entire home/apt,130
Brooklyn,Private room,89
Manhattan,Entire home/apt,198
Manhattan,Entire home/apt,99
Brooklyn,Private room,46
Manhattan,Private room,140
Brooklyn,Entire home/apt,500
Manhattan,Private room,75
Queens,Private room,33
Manhattan,Entire home/apt,250
Brooklyn,Private room,60
Manhattan,Private room,75
Brooklyn,Entire home/apt,350
Manhattan,Entire home/apt,205
Brooklyn,Entire home/apt,219
Brooklyn,Private room,60
Manhattan,Entire home/apt,185
Manhattan,Entire home/apt,190
Brooklyn,Entire home/apt,105
Manhattan,Entire home/apt,250
Manhattan,Entire home/apt,175
Manhattan,Private room,65
Brooklyn,Entire home/apt,75
Bronx,Private room,37
Brooklyn,Entire home/apt,85
Brooklyn,Entire home/apt,106
Manhattan,Entire home/apt,79
Brooklyn,Private room,85
Manhattan,Private room,170
Manhattan,Private room,115
Manhattan,Private room,89
Manhattan,Shared room,49
Brooklyn,Private room,91
Manhattan,Entire home/apt,400
Brooklyn,Entire home/apt,150
Manhattan,Entire home/apt,2000
Brooklyn,Entire home/apt,97
Manhattan,Private room,100
